t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
3.72,-0.04089,-0.04701,0.0856,0.093
3.73,-0.0406,-0.04627,0.094,0.07
3.74,-0.04032,-0.0453,0.0933,0.0791
3.75,-0.04004,-0.04461,0.0925,0.0771
3.76,-0.03977,-0.04353,0.0956,0.0822
3.77,-0.03949,-0.04271,0.0929,0.0861
3.78,-0.03921,-0.04134,0.0941,0.0497
3.79,-0.03893,-0.0404,0.0925,0.0785
3.8,-0.03865,-0.03928,0.0962,0.0707
3.81,-0.03838,-0.038,0.0906,0.0286
3.82,-0.0381,-0.03722,0.0881,0.04
3.83,-0.03783,-0.03574,0.085,0.0404
3.84,-0.03756,-0.03496,0.0827,0.0411
3.85,-0.03729,-0.03403,0.0787,0.0219
3.86,-0.03701,-0.03335,0.0737,0.0289
3.87,-0.03674,-0.0326,0.0692,0.0224
3.88,-0.03647,-0.03208,0.0614,0.0276
3.89,-0.03621,-0.03159,0.0579,0.0191
3.9,-0.03594,-0.03104,0.0514,0.0429
3.91,-0.03567,-0.03067,0.0469,0.0279
3.92,-0.03541,-0.03035,0.0405,0.0181
3.93,-0.03514,-0.02992,0.0339,0.0479
3.94,-0.03488,-0.02977,0.0277,0.025
3.95,-0.03462,-0.02959,0.0231,0.0196
3.96,-0.03436,-0.02943,0.0202,0.0397
3.97,-0.0341,-0.02925,0.0185,0.0284
3.98,-0.03384,-0.02925,0.0106,0.0316
3.99,-0.03358,-0.0291,0.0094,0.0318
4,-0.03331,-0.02908,0.001,0.0272
4.01,-0.03306,-0.02903,0.0009,0.0339
4.02,-0.03281,-0.02904,-0.0006,0.0181
4.03,-0.03256,-0.02901,0.0016,0.027
4.04,-0.03231,-0.02905,-0.0018,0.0331
4.05,-0.03205,-0.02903,0,0.0316
4.06,-0.0318,-0.02904,0.0018,0.0303
4.07,-0.03155,-0.02904,-0.0002,0.0358
4.08,-0.03131,-0.02907,-0.0001,0.0273
4.09,-0.03106,-0.02903,0.0011,0.0268
4.1,-0.03082,-0.02917,0.0004,0.0538
4.11,-0.03057,-0.02903,-0.0019,0.0339
4.12,-0.03033,-0.02901,-0.0012,0.0426
4.13,-0.03008,-0.02899,-0.0027,0.0481
4.14,-0.02984,-0.02903,-0.0006,0.0447
4.15,-0.0296,-0.029,0.0028,0.0554
4.16,-0.02936,-0.02901,-0.0044,0.0597
4.17,-0.02912,-0.029,0.0001,0.0523
4.18,-0.02888,-0.02898,0.002,0.0521
4.19,-0.02864,-0.02897,-0.0002,0.0585
4.2,-0.02841,-0.02902,0.0021,0.058
4.21,-0.02817,-0.02907,0.0002,0.047
4.22,-0.02794,-0.02899,-0.0005,0.0551
4.23,-0.02771,-0.02904,-0.0012,0.0684
