t_s,cmd_turns,pos_turns,vel_tps,trq_Nm
4.37,-0.02456,-0.0728,0.0333,0.1295
4.38,-0.02435,-0.07252,0.0387,0.1725
4.39,-0.02413,-0.07214,0.0439,0.1895
4.4,-0.02391,-0.07185,0.0475,0.1832
4.41,-0.0237,-0.07131,0.0525,0.1665
4.42,-0.02349,-0.0709,0.0549,0.1421
4.43,-0.02328,-0.07041,0.0615,0.1541
4.44,-0.02308,-0.06984,0.0697,0.1934
4.45,-0.02287,-0.06941,0.0743,0.162
4.46,-0.02266,-0.06869,0.0801,0.1609
4.47,-0.02245,-0.06818,0.0887,0.1784
4.48,-0.02225,-0.06745,0.0942,0.1479
4.49,-0.02205,-0.06686,0.1052,0.1743
4.5,-0.02185,-0.06613,0.1066,0.1286
4.51,-0.02165,-0.06474,0.1193,0.1242
4.52,-0.02145,-0.06357,0.1326,0.1784
4.53,-0.02126,-0.06159,0.1419,0.1784
4.54,-0.02107,-0.05988,0.153,0.1786
4.55,-0.02088,-0.05802,0.1547,0.161
4.56,-0.0207,-0.05566,0.158,0.1767
4.57,-0.02051,-0.05383,0.1572,0.1554
4.58,-0.02033,-0.05223,0.1551,0.1151
4.59,-0.02015,-0.05065,0.1557,0.1072
4.6,-0.01998,-0.04958,0.1599,0.1297
4.61,-0.01982,-0.0482,0.1677,0.1483
4.62,-0.01968,-0.04721,0.1681,0.1333
4.63,-0.01954,-0.04603,0.1707,0.104
4.64,-0.0194,-0.04442,0.1749,0.1042
4.65,-0.01926,-0.04293,0.1833,0.1014
4.66,-0.01913,-0.04019,0.1937,0.1682
4.67,-0.01901,-0.03802,0.1997,0.1641
4.68,-0.01895,-0.03539,0.1981,0.0812
4.69,-0.01889,-0.0329,0.1965,0.1811
4.7,-0.01883,-0.03077,0.1901,0.1047
4.71,-0.01877,-0.02913,0.1889,0.0888
4.72,-0.01871,-0.02765,0.1901,0.0866
4.73,-0.01867,-0.02625,0.1929,0.1244
4.74,-0.01864,-0.02488,0.1923,0.0888
